title#shloka_in_sanskrit#word_by_word_sn#translation_kn#translation_en#audio_url
BG 7.B#ॐ श्री परमात्मने नमः\nअथ सप्तमोऽध्यायः\nज्ञान विज्ञान योगः#ॐ श्री परमात्मने नमः अथ सप्तम अध्यायः ज्ञानविज्ञानयोगः#ಎಲ್ಲರಲ್ಲಿಯೂ ಅತ್ಯಂತ ಮಂಗಳಮಯ ದಿವ್ಯಸ್ವರೂಪಕ್ಕೆ ನಮಸ್ಕಾರಗಳು. ಇನ್ನು ಮುಂದೆ ಜ್ಞಾನ ವಿಜ್ಞಾನ ಯೋಗ ಎಂಬ ಏಳನೇ ಅಧ್ಯಾಯ.#Salutations to the most auspicious divine in all. Henceforth, the seventh chapter named Jnana Vijnana Yoga#data/gita-yoga/audio/kn-en/c07/7.0-GY.mp3
BG 7.1#श्रीभगवानुवाच |\nमय्यासक्तमना: पार्थ\nयोगं युञ्जन्मदाश्रय: |\nअसंशयं समग्रं मां\nयथा ज्ञास्यसि तच्छृणु ||1||#श्री भगवान् उवाच मयि आसक्त मनाः पार्थ योगम् युञ्जन् मद् आश्रयः असंशयम् समग्रम् माम् यथा ज्ञास्यसि तत् शृणु#ಪರಮ ಪ್ರಭುವು ಹೇಳಿದರು: ಈಗ ಕೇಳು, ಓ ಅರ್ಜುನ, ಭಕ್ತಿ ಯೋಗದ ಅಭ್ಯಾಸದ ಮೂಲಕ ಮನಸ್ಸನ್ನು ನನ್ನಲ್ಲಿ ಮಾತ್ರ ಸಂಪೂರ್ಣವಾಗಿ ನೆಲೆಗೊಳಿಸಿ ಮತ್ತು ನನ್ನನ್ನು ಆಶ್ರಯಿಸಿ, ನೀನು ಹೇಗೆ ನನ್ನನ್ನು ಸಂಪೂರ್ಣವಾಗಿ, ಯಾವುದೇ ಸಂಶಯವಿಲ್ಲದೆ ತಿಳಿದುಕೊಳ್ಳಬಲ್ಲೆ ಎಂಬುದನ್ನು.#The Supreme Lord said: Now listen, O Arjuna, how, with the mind attached exclusively to Me, and surrendering to Me through the practice of bhakti yog, you can know Me completely, free from doubt.#
BG 7.2#ज्ञानं तेऽहं सविज्ञानम्\nइदम् वक्ष्याम्यशेषत: |\nयज्ज्ञात्वा नेह भूयोऽन्यत्\nज्ञातव्यमवशिष्यते ||2||#ज्ञानम् ते अहम् स विज्ञानम् इदम् वक्ष्यामि अशेषतः यत् ज्ञात्वा न इह भूयः अन्यत् ज्ञातव्यम् अवशिष्यते#ಈ ಜ್ಞಾನ ಮತ್ತು ವಿಜ್ಞಾನವನ್ನು ನಾನು ಈಗ ನಿನಗೆ ಸಂಪೂರ್ಣವಾಗಿ ವಿವರಿಸುತ್ತೇನೆ; ಇದನ್ನು ತಿಳಿದ ನಂತರ ಈ ಲೋಕದಲ್ಲಿ ಇನ್ನೇನನ್ನೂ ತಿಳಿಯಬೇಕಾದದ್ದು ಉಳಿಯುವುದಿಲ್ಲ.#I shall now reveal unto you fully this knowledge and wisdom, knowing which nothing else remains to be known in this world.#
BG 7.3#मनुष्याणां सहस्रेषु\nकश्चिद्यतति सिद्धये |\nयततामपि सिद्धानां\nकश्चिन्मां वेत्ति तत्त्वत: ||3||#मनुष्याणाम् सहस्रेषु कश्चित् यतति सिद्धये यतताम् अपि सिद्धानाम् कश्चित् माम् वेत्ति तत्त्वतः#ಸಾವಿರಾರು ಜನರಲ್ಲಿ ಬಹಳ ವಿರಳವಾಗಿ ಒಬ್ಬನು ಪರಿಪೂರ್ಣತೆಯನ್ನು ಪಡೆಯಲು ಪ್ರಯತ್ನಿಸುತ್ತಾನೆ; ಮತ್ತು ಪರಿಪೂರ್ಣತೆಯನ್ನು ಸಾಧಿಸಿದವರಲ್ಲಿಯೂ ಬಹಳ ವಿರಳವಾಗಿ ಒಬ್ಬನು ನನ್ನನ್ನು ತತ್ತ್ವತಃ ತಿಳಿದುಕೊಳ್ಳುತ್ತಾನೆ.#Amongst thousands of persons, hardly one strives for perfection; and amongst those who have achieved perfection, hardly one knows Me in truth.#
BG 7.4#भूमिरापोऽनलो वायु:\nखं मनो बुद्धिरेव च |\nअहङ्कार इतीयं मे\nभिन्ना प्रकृतिरष्टधा ||4||#भूमिः आपः अनलः वायुः खम् मनः बुद्धिः एव च अहङ्कारः इति इयम् मे भिन्ना प्रकृतिः अष्टधा#ಭೂಮಿ, ಜಲ, ಅಗ್ನಿ, ವಾಯು, ಆಕಾಶ, ಮನಸ್ಸು, ಬುದ್ಧಿ ಮತ್ತು ಅಹಂಕಾರ—ಇವು ನನ್ನ ಭೌತಿಕ ಶಕ್ತಿಯ ಎಂಟು ವಿಭಾಗಗಳಾಗಿವೆ.#Earth, water, fire, air, space, mind, intellect, and ego—these are eight components of My material energy.#
BG 7.5#अपरेयमितस्त्वन्यां\nप्रकृतिं विद्धि मे पराम् |\nजीवभूतां महाबाहो\nययेदं धार्यते जगत् ||5||#अपरा इयम् इतः तु अन्याम् प्रकृतिम् विद्धि मे पराम् जीव-भूताम् महा-बाहो यया इदम् धार्यते जगत्#ಇದು ನನ್ನ ಅಪರಾ ಶಕ್ತಿ. ಆದರೆ ಇದಕ್ಕಿಂತ ಆಚೆಗೆ, ಓ ಮಹಾಬಾಹುವಾದ ಅರ್ಜುನ, ನನ್ನ ಪರಾ ಶಕ್ತಿಯಿದೆ. ಇದು ಜೀವಶಕ್ತಿ; ಈ ಜಗತ್ತಿನಲ್ಲಿ ಜೀವಕ್ಕೆ ಆಧಾರವಾಗಿರುವ ಜೀವಾತ್ಮರನ್ನು ಇದು ಒಳಗೊಂಡಿದೆ.#Such is My inferior energy. But beyond it, O mighty-armed Arjuna, I have a superior energy. This is the jīva śhakti (the soul energy), which comprises the embodied souls who are the basis of life in this world.#
BG 7.6#एतद्योनीनि भूतानि\nसर्वाणीत्युपधारय |\nअहं कृत्स्नस्य जगतः\nप्रभवः प्रलयस्तथा ||6||#एतत् योनीनि भूतानि सर्वाणि इति उपधारय अहम् कृत्स्नस्य जगतः प्रभवः प्रलयः तथा#ಈ ಎರಡು ಶಕ್ತಿಗಳಿಂದಲೇ ಎಲ್ಲಾ ಜೀವಿಗಳು ಪ್ರಕಟವಾಗುತ್ತವೆ ಎಂದು ತಿಳಿದುಕೋ. ನಾನು ಸಮಸ್ತ ಸೃಷ್ಟಿಯ ಮೂಲವಾಗಿದ್ದೇನೆ ಮತ್ತು ಅದು ಮತ್ತೆ ನನ್ನಲ್ಲಿಯೇ ಲೀನವಾಗುತ್ತದೆ.#Know that all living beings are manifested by these two energies of Mine. I am the source of the entire creation, and into Me it again dissolves.#
BG 7.7#मत्तः परतरं नान्यत्\nकिञ्चिदस्ति धनञ्जय |\nमयि सर्वमिदं प्रोतं\nसूत्रे मणिगणा इव ||7||#मत्तः पर-तरम् न अन्यत् किञ्चित् अस्ति धनञ्जय मयि सर्वम् इदम् प्रोतम् सूत्रे मणि-गणाः इव#ಓ ಧನಂಜಯ, ನನಗಿಂತ ಶ್ರೇಷ್ಠವಾದುದು ಯಾವುದೂ ಇಲ್ಲ. ದಾರದಲ್ಲಿ ಪೋಣಿಸಿದ ಮಣಿಗಳಂತೆ ಈ ಸಮಸ್ತವೂ ನನ್ನಲ್ಲಿಯೇ ನೆಲೆಗೊಂಡಿದೆ.#There is nothing higher than Myself, O Arjun. Everything rests in Me, as beads strung on a thread.#
BG 7.8#रसोऽहमप्सु कौन्तेय\nप्रभास्मि शशिसूर्ययोः |\nप्रणवः सर्ववेदेषु\nशब्दः खे पौरुषं नृषु ||8||#रसः अहम् अप्सु कौन्तेय प्रभा अस्मि शशि-सूर्ययोः प्रणवः सर्व वेदेषु शब्दः खे पौरुषम् नृषु#ಓ ಕುಂತೀಪುತ್ರ, ನಾನು ನೀರಿನಲ್ಲಿರುವ ರುಚಿ; ಸೂರ್ಯ ಮತ್ತು ಚಂದ್ರರಲ್ಲಿರುವ ಪ್ರಕಾಶ. ವೇದಮಂತ್ರಗಳಲ್ಲಿರುವ ಪವಿತ್ರ ಓಂಕಾರ ನಾನು; ಆಕಾಶದಲ್ಲಿರುವ ಶಬ್ದ ಮತ್ತು ಮಾನವರಲ್ಲಿರುವ ಸಾಮರ್ಥ್ಯವೂ ನಾನೇ.#I am the taste in water, O son of Kunti, and the radiance of the sun and the moon. I am the sacred syllable Om in the Vedic mantras; I am the sound in ether, and the ability in humans.#
BG 7.9#पुण्यो गन्धः पृथिव्यां च\nतेजश्चास्मि विभावसौ |\nजीवनं सर्वभूतेषु\nतपश्चास्मि तपस्विषु ||9||#पुण्यः गन्धः पृथिव्याम् च तेजः च अस्मि विभावसौ जीवनम् सर्व भूतेषु तपः च अस्मि तपस्विषु#ನಾನು ಭೂಮಿಯ ಪರಿಶುದ್ಧ ಸುಗಂಧ ಮತ್ತು ಅಗ್ನಿಯಲ್ಲಿರುವ ತೇಜಸ್ಸು. ಎಲ್ಲಾ ಜೀವಿಗಳಲ್ಲಿರುವ ಜೀವಶಕ್ತಿ ಮತ್ತು ತಪಸ್ವಿಗಳಲ್ಲಿರುವ ತಪಸ್ಸು ನಾನೇ.#I am the pure fragrance of the Earth, and the brilliance in fire. I am the life-force in all beings, and the penance of the ascetics.#
BG 7.10#बीजं मां सर्वभूतानां\nविद्धि पार्थ सनातनम् |\nबुद्धिर्बुद्धिमतामस्मि\nतेजस्तेजस्विनामहम् ||10||#बीजम् माम् सर्व-भूतानाम् विद्धि पार्थ सनातनम् बुद्धिः बुद्धि-मताम् अस्मि तेजः तेजस्विनाम् अहम्#ಓ ಅರ್ಜುನ, ನಾನು ಎಲ್ಲಾ ಜೀವಿಗಳ ಶಾಶ್ವತ ಬೀಜ ಎಂದು ತಿಳಿದುಕೋ. ಬುದ್ಧಿವಂತರ ಬುದ್ಧಿಯೂ, ತೇಜಸ್ವಿಗಳ ತೇಜಸ್ಸೂ ನಾನೇ.#O Arjuna, know that I am the eternal seed of all beings. I am the intellect of the intelligent, and the splendor of the glorious.#
BG 7.11#बलं बलवतां चाहं\nकामरागविवर्जितम् |\nधर्माविरुद्धो भूतेषु\nकामोऽस्मि भरतर्षभ ||11||#बलम् बल-वताम् च अहम् काम राग विवर्जितम् धर्म-अविरुद्धः भूतेषु कामः अस्मि भरत-ऋषभ#ಓ ಭರತಶ್ರೇಷ್ಠ, ಬಲಶಾಲಿಗಳಲ್ಲಿ ಆಸಕ್ತಿ ಮತ್ತು ಕಾಮನೆಗಳಿಂದ ಮುಕ್ತವಾಗಿರುವ ಅವರ ಬಲ ನಾನೇ. ಜೀವಿಗಳಲ್ಲಿ ಧರ್ಮಕ್ಕೆ ವಿರುದ್ಧವಾಗದ ಕಾಮನೆಯೂ ನಾನೇ.#O best of the Bharatas, in strong persons, I am their strength devoid of desire and passion. I am sexual activity not conflicting with virtue or scriptural injunctions.#
