title#shloka_in_sanskrit#transliteration_en#translation_en#word_by_word_en#audio_url
BG 8.B#ॐ श्री परमात्मने नमः\nअथ अष्टमोऽध्यायः\nअक्षर ब्रह्म योगः#om sri paramatmane namaha\natha ashtamodhyayaha\nakshara brahma yogaha#Salutations to the most auspicious divine in all. Henceforth, the eighth chapter named Akshara Brahma Yoga#om sri paramatmane—the most auspicious divine in all; namaha—salutations; atha—henceforth; ashtamodhyayaha—eighth chapter; akshara brahma yogaha—Yoga of the eternal Brahman#
BG 8.1#अर्जुन उवाच |\nकिं तद्ब्रह्म किमध्यात्मं\nकिं कर्म पुरुषोत्तम |\nअधिभूतं च किं प्रोक्तम्\nअधिदैवं किमुच्यते ||1||#arjuna uvācha\nkiṁ tad brahma kim adhyātmaṁ\nkiṁ karma puruṣhottama\nadhibhūtaṁ cha kiṁ proktam\nadhidaivaṁ kim uchyate#Arjuna asked: O Supreme Person (Purushottama), what is Brahman, what is the self (Adhyatma), and what is action (Karma)? What is said to constitute the material manifestation (Adhibhuta), and what is called the divine realm (Adhidaiva)?#arjunaḥ uvācha—Arjun said; kim—what; tat—that; brahma—Brahman; kim—what; adhyātmam—the individual soul; kim—what; karma—the principle of karma; puruṣha-uttama—Shree Krishna, the Supreme Divine Personality; adhibhūtam—the material manifestation; cha—and; kim—what; proktam—is called; adhidaivam—the Lord of the celestial gods; kim—what; uchyate—is called;#
BG 8.2#अधियज्ञः कथं कोऽत्र\nदेहेऽस्मिन्मधुसूदन |\nप्रयाणकाले च कथं\nज्ञेयोऽसि नियतात्मभिः ||2||#adhiyajñaḥ kathaṁ ko ’tra\ndehe ’smin madhusūdana\nprayāṇa-kāle cha kathaṁ\njñeyo ’si niyatātmabhiḥ#O Madhusudana, who is the Lord of Sacrifice (Adhiyajna), and how does He reside within this body? Furthermore, how can those with self-control know You at the final moment of death?#adhiyajñaḥ—the Lord all sacrificial performances; katham—how; kaḥ—who; atra—here; dehe—in body; asmin—this; madhusūdana—Shree Krishna, the killer of the demon named Madhu; prayāṇa-kāle—at the time of death; cha—and; katham—how; jñeyaḥ—to be known; asi—are (You); niyata-ātmabhiḥ—by those of steadfast mind#
BG 8.3#श्रीभगवानुवाच |\nअक्षरं ब्रह्म परमं\nस्वभावोऽध्यात्ममुच्यते |\nभूतभावोद्भवकरः\nविसर्गः कर्मसञ्ज्ञितः ||3||#śhrī bhagavān uvācha\nakṣharaṁ brahma paramaṁ\nsvabhāvo ’dhyātmam uchyate\nbhūta-bhāvodbhava-karo\nvisargaḥ karma-sanjñitaḥ#The Lord said: The Supreme Indestructible Entity is called Brahman; one’s own self is called adhyatma. Actions pertaining to the material personality of living beings, and its development are called karma, or fruitive activities.#śhrī-bhagavān uvācha—the Lord said; akṣharam—indestructible; brahma—Brahman; paramam—the Supreme; svabhāvaḥ—nature; adhyātmam—one’s own self; uchyate—is called; bhūta-bhāva-udbhava-karaḥ—actions pertaining to the material personality of living beings, and its development; visargaḥ—creation; karma—fruitive activities; sanjñitaḥ—are called#
BG 8.4#अधिभूतं क्षरो भावः\nपुरुषश्चाधिदैवतम् |\nअधियज्ञोऽहमेवात्र\nदेहे देहभृतां वर ||4||#adhibhūtaṁ kṣharo bhāvaḥ\npuruṣhaśh chādhidaivatam\nadhiyajño ’ham evātra\ndehe deha-bhṛitāṁ vara#O best of the embodied souls, the physical manifestation that is constantly changing is called adhibhūta; the universal form of God, which presides over the celestial gods in this creation, is called Adhidaiva; I, who dwell in the heart of every living being, am called Adhiyajna, or the Lord of all sacrifices.#adhibhūtam—the ever changing physical manifestation; kṣharaḥ—perishable; bhāvaḥ—nature; puruṣhaḥ—the cosmic personality of God, encompassing the material creation; cha—and; adhidaivatam—the Lord of the celestial gods; adhiyajñaḥ—the Lord of all sacrifices; aham—I; eva—certainly; atra—here; dehe—in the body; deha-bhṛitām—of the embodied; vara—O best#
BG 8.5#अन्तकाले च मामेव\nस्मरन्मुक्त्वा कलेवरम् |\nयः प्रयाति स मद्भावं\nयाति नास्त्यत्र संशयः ||5||#anta-kāle cha mām eva\nsmaran muktvā kalevaram\nyaḥ prayāti sa mad-bhāvaṁ\nyāti nāstyatra sanśhayaḥ#Those who relinquish the body while remembering Me at the moment of death will come to Me. There is certainly no doubt about this.#anta-kāle—at the time of death; cha—and; mām—Me; eva—alone; smaran—remembering; muktvā—relinquish; kalevaram—the body; yaḥ—who; prayāti—goes; saḥ—he; mat-bhāvam—godlike nature; yāti—achieves; na—no; asti—there is; atra—here; sanśhayaḥ—doubt#
BG 8.6#यं यं वापि स्मरन्भावं\nत्यजत्यन्ते कलेवरम् |\nतं तमेवैति कौन्तेय\nसदा तद्भावभावितः ||6||#yaṁ yaṁ vāpi smaran bhāvaṁ\ntyajatyante kalevaram\ntaṁ tam evaiti kaunteya\nsadā tad-bhāva-bhāvitaḥ#Whatever one remembers upon giving up the body at the time of death, O son of Kunti, one attains that state, being always absorbed in such contemplation.#yam yam—whatever; vā—or; api—even; smaran—remembering; bhāvam—remembrance; tyajati—gives up; ante—in the end; kalevaram—the body; tam—to that; tam—to that; eva—certainly; eti—gets; kaunteya—Arjun, the son of Kunti; sadā—always; tat—that; bhāva-bhāvitaḥ—absorbed in contemplation#
BG 8.7#तस्मात्सर्वेषु कालेषु\nमामनुस्मर युध्य च |\nमय्यर्पितमनोबुद्धिः\nमामेवैष्यस्यसंशयम् ||7||#tasmāt sarveṣhu kāleṣhu\nmām anusmara yudhya cha\nmayyarpita-mano-buddhir\nmām evaiṣhyasyasanśhayam#Therefore, always remember Me and also do your duty of fighting the war. With mind and intellect surrendered to Me, you will definitely attain Me; of this, there is no doubt.#tasmāt—therefore; sarveṣhu—in all; kāleṣhu—times; mām—Me; anusmara—remember; yudhya—fight; cha—and; mayi—to Me; arpita—surrender; manaḥ—mind; buddhiḥ—intellect; mām—to Me; eva—surely; eṣhyasi—you shall attain; asanśhayaḥ—without a doubt#
BG 8.8#अभ्यासयोगयुक्तेन\nचेतसा नान्यगामिना |\nपरमं पुरुषं दिव्यं\nयाति पार्थानुचिन्तयन् ||8||#abhyāsa-yoga-yuktena\nchetasā nānya-gāminā\nparamaṁ puruṣhaṁ divyaṁ\nyāti pārthānuchintayan#With practice, O Parth, when you constantly engage the mind in remembering Me, the Supreme Divine Personality, without deviating, you will certainly attain Me.#abhyāsa-yoga—by practice of yog; yuktena—being constantly engaged in remembrance; chetasā—by the mind; na anya-gāminā—without deviating; paramam puruṣham—the Supreme Divine Personality; divyam—divine; yāti—one attains; pārtha—Arjun, the son of Pritha; anuchintayan—constant remembrance#
BG 8.9#कविं पुराणमनुशासितारम्\nअणोरणीयांसमनुस्मरेद्यः |\nसर्वस्य धातारमचिन्त्यरूपम्\nआदित्यवर्णं तमसः परस्तात् ||9||#kaviṁ purāṇam anuśhāsitāram\naṇor aṇīyānsam anusmared yaḥ\nsarvasya dhātāram achintya-rūpam\nāditya-varṇaṁ tamasaḥ parastāt#One should meditate on the Supreme Divine as the omniscient, ancient Lord, the ruler of all, subtler than the subtlest, the sustainer of everything, possessing an inconceivable form, radiant like the sun, and entirely beyond all darkness.#kavim—poet; purāṇam—ancient; anuśhāsitāram—the Controller; aṇoḥ—than the atom; aṇīyānsam—smaller; anusmaret—always remembers; yaḥ—who; sarvasya—of everything; dhātāram—the support; achintya—inconceivable; rūpam—divine form; āditya-varṇam—effulgent like the sun; tamasaḥ—to the darkness of ignorance; parastāt—beyond;#
BG 8.10#प्रयाणकाले मनसाचलेन\nभक्त्या युक्तो योगबलेन चैव |\nभ्रुवोर्मध्ये प्राणमावेश्य सम्यक्\nस तं परं पुरुषमुपैति दिव्यम् ||10||#prayāṇa-kāle manasāchalena\nbhaktyā yukto yoga-balena chaiva\nbhruvor madhye prāṇam āveśhya samyak\nsa taṁ paraṁ puruṣham upaiti divyam#At the time of death, one who with an unmoving mind, filled with devotion and the power of yoga, perfectly establishes the life-force (prana) between the eyebrows, attains that Supreme Divine Person.#prayāṇa-kāle—at the time of death; manasā—mind; achalena—steadily; bhaktyā—remembering with great devotion; yuktaḥ—united; yoga-balena—through the power of yog; cha—and; eva—certainly; bhruvoḥ—the two eyebrows; madhye—between; prāṇam—life-airs; āveśhya—fixing; samyak—completely; saḥ—he; tam—him; param puruṣham—the Supreme Divine Lord; upaiti—attains; divyam—divine#
BG 8.11#यदक्षरं वेदविदो वदन्ति\nविशन्ति यद्यतयो वीतरागाः |\nयदिच्छन्तो ब्रह्मचर्यं चरन्ति\nतत्ते पदं संग्रहेण प्रवक्ष्ये ||11||#yad akṣharaṁ veda-vido vadanti\nviśhanti yad yatayo vīta-rāgāḥ\nyad ichchhanto brahmacharyaṁ charanti\ntat te padaṁ sangraheṇa pravakṣhye#Scholars of the Vedas describe Him as Imperishable; great ascetics practice the vow of celibacy and renounce worldly pleasures to enter into Him. I shall now explain to you briefly the path to that goal.#yat—which; akṣharam—Imperishable; veda-vidaḥ—scholars of the Vedas; vadanti—describe; viśhanti—enter; yat—which; yatayaḥ—great ascetics; vīta-rāgāḥ—free from attachment; yat—which; ichchhantaḥ—desiring; brahmacharyam—celibacy; charanti—practice; tat—that; te—to you; padam—goal; saṅgraheṇa—briefly; pravakṣhye—I shall explain#
